"comid","do_stream_mg_l","doc_stream_mg_l","no3_stream_mg_l"
23100254,10.56375789,0.781818182,0.28495332394788
23100258,10.5564901,0.781818182,0.284534147051148
23100260,10.55312698,0.781818182,0.283981151103222
23100262,10.5449339,0.781818182,0.283356389592614
23100264,10.22083813,0.781818182,0.287869882066966
23100266,10.22860825,0.781818182,0.287446662249604
23100268,10.23289941,0.781818182,0.28733758638827
23100270,10.23364432,0.781818182,0.286264103599324
23100272,10.1384137,0.781818182,0.283438484624154
23100274,10.14365135,0.781818182,0.281413593793492
23100276,10.15086929,0.781818182,0.280862272728246
23100278,10.14446794,0.781818182,0.280546937060758
23100280,10.17546578,0.781818182,0.279844616839386
23100282,10.79587031,0.781818182,0.340456050491166
23100284,10.8549993,0.781818182,0.379257929801894
23100286,10.88874356,0.781818182,0.359449594311366
23100288,10.90880293,0.781818182,0.352895802085696
23100290,10.86204338,0.781818182,0.36188829767395
23100292,10.83166245,0.781818182,0.364783892731886
23100294,10.97276627,0.781818182,0.353890876913534
23100296,10.00655155,0.781818182,0.274540228546948
23100298,9.974590141,0.781818182,0.271776747137072
23100300,9.965567334,0.781818182,0.267690638068774
23100302,9.927065321,0.781818182,0.263799632458006
23100304,9.92398688,0.781818182,0.26301560374207
23100306,9.900146693,0.781818182,0.26174025542705
23100308,9.893326889,0.781818182,0.260828241973192
23100310,9.900579574,0.781818182,0.25682379948581
23100312,9.789350695,0.781818182,0.297293520898456
23100314,9.829635426,0.781818182,0.29414039391702
23100316,10.1738933,0.781818182,0.300417925887304
23100318,10.29450608,0.781818182,0.29921830139668
23100320,10.12615031,0.781818182,0.315429349979972
23100322,9.68668275,0.781818182,0.218263772152968
23100324,9.908905634,1.177411887,0.18701410101226
23100326,10.58594355,0.781818182,0.281190609277518
23100328,10.5850797,0.781818182,0.281030201255874
23100330,10.59687254,0.781818182,0.279156331203458
23100332,10.59013979,0.781818182,0.278831762391758
23100334,10.58953967,0.781818182,0.278725480939948
23100336,10.58700895,0.781818182,0.278243915162358
23100338,10.34854942,0.781818182,0.26136661646144
23100340,10.34991142,0.781818182,0.260794210003742
23100342,10.33681103,0.781818182,0.258582483847914
23100344,10.33639307,0.781818182,0.258005893842644
23100346,10.33269918,0.781818182,0.257590921782956
23100348,10.33284255,0.781818182,0.256637014639978
23100350,10.34115439,0.781818182,0.25642985443885
23100352,10.33717417,0.781818182,0.25574340119443
23100354,10.31098253,0.931008726,0.24682921235913
23100356,10.29714787,0.951523265,0.240152354012028
23100358,10.29487029,0.781818182,0.22454166163669
23100360,10.53781003,0.781818182,0.201309956428498
23100362,10.58491165,0.781818182,0.191582619869286
23100364,10.81788269,0.781818182,0.181927193824122
23100366,10.89369898,0.781818182,0.173774230684358
23100368,10.78164805,0.781818182,0.165710584696862
23100370,11.45636509,0.781818182,0.164504886635892
23100372,10.09071074,0.781818182,0.26727046563974
23100374,10.1161276,0.781818182,0.267164769731572
23100376,10.20293976,0.781818182,0.255007343147602
23100378,9.445009596,1.249123202,0.302675611356108
23100380,9.20757282,0.781818182,0.288511797320152
23100382,9.229694501,0.781818182,0.26481868521898
23100384,10.59322078,0.891140199,0.295499880054948
23100386,10.56864951,0.799905635,0.2946074599841
23100388,10.56081203,0.781818182,0.293709903994456
23100390,10.57099947,0.781818182,0.290626526479336
23100392,10.59895894,0.781818182,0.290445499687222
23100394,10.60336584,0.781818182,0.287678036813434
23100396,10.61365633,0.781818182,0.28522289273926
23100398,10.58780986,0.781818182,0.27651804760656
23100400,10.53020871,0.781818182,0.266205536062494
23100402,10.55720199,0.781818182,0.25890642877829
23100404,10.53809498,0.781818182,0.253049089112758
23100406,10.49975895,0.781818182,0.255521237404234
23100408,10.39295144,0.781818182,0.338171429016886
23100410,10.35935939,0.781818182,0.33595779562375
23100412,10.23754239,0.781818182,0.325648336125084
23100414,10.20484873,0.781818182,0.32022875615467
23100416,10.23013746,0.781818182,0.317052579743828
23100418,10.20202841,0.781818182,0.311804953341842
23100420,10.30100953,0.781818182,0.308288827057914
23100422,10.32382803,0.781818182,0.298583788060466
23100424,10.05573449,0.781818182,0.309320467136046
23100426,9.904867509,0.781818182,0.283557724295642
23100428,10.40183775,0.781818182,0.230131389728512
23100430,10.48444291,0.781818182,0.226429282026834
23100432,10.49324643,0.963539911,0.213601121812332
23100434,10.42057545,1.027178882,0.211972515874662
23100436,10.43253766,1.074428749,0.204654125318546
23100438,10.42882363,1.263298732,0.188324006215274
23100440,11.14692996,1.114543295,0.160216400013086
23100442,10.82139632,0.781818182,0.193751776145772
23100444,10.63954745,0.781818182,0.219662924070036
23100446,10.82869496,0.781818182,0.20969363207941
23100448,10.69574837,0.781818182,0.205986427794562
23100450,10.29733034,2.526924809,2.48578007187672
23100452,10.29733034,2.526924809,2.48580921159204
23100454,10.29730942,2.008681215,2.48804468482329
23100456,10.35812207,2.00608594,2.40278888363089
23100458,10.42325023,1.849803404,2.34523193610065
23100460,10.42506424,1.734151254,2.37497788709284
23100462,10.4247055,1.765345014,2.37459441763037
23100464,10.42457307,1.815376891,2.56210873649255
23100466,10.35139534,1.712876147,2.62822081535124
23100468,10.35112747,1.64415932,2.6245347952553
23100470,10.40843533,1.547371652,2.83554344292579
23100472,10.42661846,1.391300062,2.94867351238489
23100474,10.45354249,1.528920972,3.03991103174377
23100476,10.45631859,1.634970562,3.29735669928472
23100478,10.46488881,1.648470031,3.32147509253975
23100480,10.4231126,1.984496089,3.6896004968863
23100482,10.46739943,2.042215782,3.86883131055613
23100484,10.38273758,2.279445734,4.13634589766474
23100486,10.41366834,2.638247162,4.22087933667693
23100488,10.49215783,2.703993482,4.32412467493024
23100490,10.81237522,2.61944349,4.14177042178238
23100492,10.73711302,3.652631036,4.4633511446501
23100494,10.5640466,0.781818182,0.286420662384636
23100496,10.85631644,0.781818182,0.286677005091536
23100498,10.798415,0.781818182,0.260425425703044
23100500,9.725506825,0.781818182,0.305110168926668
23100502,11.01684019,0.781818182,0.210638684382114
23100504,10.6836407,0.9334723,0.22675295584909
23100506,10.8205767,0.967705816,0.223251493936432
23100508,11.0061643,1.018513331,0.204882059553598
23100510,10.49609317,0.988954294,0.188644243118394
23100512,10.62282083,1.064449433,0.194129001888442
23100514,11.11484583,1.109598154,0.202317886355134
23100516,11.11172283,1.098616466,0.19982771569399
23100518,11.21116315,1.157078713,0.19771391977877
23100520,11.11041286,1.065342463,0.203846070768162
23100522,11.16238217,1.09300324,0.201185680632614
23100524,11.39616515,1.061570349,0.18600517505435
23100526,10.53167033,1.471117602,0.14947699505347
23100528,10.45219709,1.16993317,0.166672335596518
23100530,10.47749275,1.346084166,0.132094886546476
23100532,9.947076928,2.485036387,2.14992223972132
23100534,9.947076928,2.520811253,2.149922806803
23100536,9.959220315,2.534138665,2.07759303344472
23100538,10.03875489,2.465213973,2.38602010867879
23100540,10.07901965,2.420993195,2.65976009291774
23100542,10.09221869,2.354259896,2.70812581711908
23100544,10.13195364,2.399199312,3.25324063769282
23100546,10.1528156,2.241080282,4.50405323582623
23100548,10.15245842,2.220286937,4.62520173883777
23100550,10.15698513,2.197590673,4.63842216979868
23100552,10.1648466,2.315132492,5.20437245315515
23100554,10.15929917,2.460725192,5.03648312659703
23100556,10.18365345,2.574999218,5.11449026565964
23100558,10.23811745,2.564421346,5.44231303568806
23100560,10.39793025,2.87570263,5.82139167345716
23100562,10.39876658,3.090569191,5.69779063100528
23100564,10.60008467,3.618415177,6.95828719139254
23100566,10.59859805,3.766540359,7.11139853067309
23100568,10.60565751,3.839626377,7.23845458032861
23100570,10.65551636,4.060377863,5.58875920271207
23100572,10.31243391,0.781818182,0.274818625566762
23100574,10.18755142,0.781818182,0.284091890537204
23100576,9.840960085,0.781818182,0.233560148676424
23100578,11.00927238,0.781818182,0.187960016869172
23100580,11.99536149,1.590379755,0.143248235517136
23100582,10.64262516,0.781818182,0.2285166850676
23100584,10.50626985,0.781818182,0.224855252565418
23100586,10.95144279,1.046000432,0.212877320596874
23100588,10.97529738,1.251581198,0.214983508602848
23100590,10.93638099,1.390530099,0.203964626681686
23100592,9.744671352,1.651503701,0.593736424435956
23100594,9.778468816,1.459856083,0.537461941892046
23100596,9.783107007,1.285973636,0.54809866747872
