"comid","logq_hz_lateral_m_div_s_fill"
23100910,-4.86367270366627
23100912,-7.1605219526258
23100916,-8.29215145111084
23100918,-4.95321881640847
23100920,-8.25963731050576
23100922,-4.89304796928396
23100926,-7.13846558914096
23100928,-9.55857753753662
23100930,-4.50124848210915
23100932,-4.82081225749439
23100934,-7.71219827006977
23100936,-7.13489602535887
23100938,-4.68431379517811
23100940,-8.3874568939209
23100942,-7.36754270781528
23100944,-5.0020154528333
23100946,-7.35457773065091
23100948,-7.67366413907125
23100954,-8.73480701446533
23100956,-7.58004425151024
23100958,-6.87321942298799
23100960,-8.13221263885498
23100962,-4.38667783191162
23100964,-8.14266750356873
23100966,-8.2839966563652
23100968,-4.75006841279464
23100972,-6.71152719940022
23100974,-8.41558456420898
23100976,-8.64179420471191
23100978,-7.47755576649368
23100980,-8.16115090926274
23100982,-8.45593195564972
23100986,-7.59859945921846
23100988,-8.95860731484177
23100990,-7.53392601013184
23100992,-7.43062609038495
23100994,-7.20760831050175
23100996,-7.1681302257195
23101000,-4.97906664723023
23101002,-8.04575749056067
23101004,-7.46597389394386
23101006,-7.54975089168064
23101008,-5.71055128999591
23101010,-6.81758534756545
23101012,-8.3935604095459
23101016,-5.04501735251889
23101018,-8.07058107428571
23101020,-8.21467016498923
23101022,-7.75448733218585
23101024,-6.88198092717882
23101026,-7.45469288353418
23101028,-8.3767507096021
23101030,-8.30980391997149
23101032,-7.50863830616573
23101034,-8.33724216831843
23101036,-9.14066600799561
23101038,-5.76723252582366
23101040,-8.44398212432861
23101042,-8.48417854309082
23101044,-7.73048705578208
23101046,-5.06280964609646
23101048,-8.26760624017703
23101050,-7.74232142513082
23101052,-6.8735438865682
23101054,-7.22257317761069
23101056,-5.49177287458983
23101058,-9.39794000867204
23101060,-5.95758201185675
23101062,-8.01772876696043
23101064,-7.86327943284359
23101068,-8.31875876262441
23101070,-7.42711734771729
23101072,-8.74472749489669
23101074,-8.01858711242676
23101076,-8.18045606445813
23101078,-8.04575749056067
23101082,-7.92081875395237
23101084,-8.26760624017703
23101086,-5.83274175695637
23101088,-7.39254497678533
23101090,-7.12205304837081
23101092,-4.28637591298647
23101102,-4.58205699394937
23101104,-8.36653154442041
23101106,-7.30035305023193
23101108,-7.20939779281616
23101112,-4.99186231924163
23101114,-9.15490195998574
23101116,-8.50863830616573
23101118,-7.41670179367065
23101122,-7.16422605514526
23101124,-6.94307518005371
23101126,-8.95860731484177
23101132,-7.6675615400844
23101134,-6.64467528874283
23101136,-7.05403929642243
23101138,-5.16251951477358
23101142,-10
23101150,-5.38184039379146
23101152,-5.18515998322289
23101158,-5.58422561679089
23101162,-5.22395696401799
23101166,-5.63532603888134
23101168,-8.25963731050576
23101172,-4.75697800243157
23101184,-7.60170602798462
23101188,-5.65222128293464
23101190,-4.86414253883171
23101196,-6.24861431121826
23101198,-8.36653154442041
23101202,-5.63821552057013
23101204,-8.08092190762393
23101206,-8.76955107862173
23101208,-8.2839966563652
23101210,-5.92745601435635
23101214,-8.19382002601611
23101218,-5.51898743548594
23101220,-4.71353849769083
23101224,-7.58502665202918
23101228,-7.42136079003193
23101230,-8.2518119729938
23101232,-8.85387196432176
23101236,-5.98774078015855
23101238,-4.74513428993945
23101240,-5.90633067553791
23101246,-8.3767507096021
23101248,-4.63617021116829
23101252,-5.16871583586341
23101254,-7.16941133131486
23101256,-5.1754702503092
23101258,-8.16749108729376
23101260,-7.60554831917378
23101262,-7.18309616062434
23101264,-7.35163998901907
23101272,-7.35753547975788
23101274,-7.63078414258986
23101276,-7.35556141053216
23101280,-6.67182433856168
23101282,-5.79764793219025
23101284,-6.1074189731099
23101286,-7.98296666070122
23101288,-7.3269790928711
23101290,-8.13667713987954
23101292,-7.84466396253494
23101294,-5.19227343344953
23101296,-5.01185525267529
23101298,-8.74034118652344
23101302,-7.95860731484177
23101304,-5.02487265038649
23101306,-7.54821356447571
23101308,-4.85209649346568
23101310,-7.56703070912559
23101312,-7.78251605578609
23101314,-7.25258819211358
23101316,-7.65757731917779
23101318,-6.19490712165733
23101320,-5.75424064403272
23101328,-5.63654940264263
23101330,-5.61467862970319
23101336,-7.29929628285498
23101338,-7.93554201077308
23101340,-8.38721614328026
23101342,-4.70413752165056
23101344,-5.01062456149518
23101346,-7.13018179202067
23101348,-5.08561409058611
23101352,-7.33724216831843
23101354,-8.08092190762393
23101356,-4.58312484818822
23101358,-5.53441319991055
23101360,-7.15194082260132
23101362,-5.98961522850162
23101364,-8.07572071393812
23101366,-4.97056994020072
23101368,-5.84263390823773
23101370,-7.62342304294349
23101372,-6.99439055463972
23101374,-7.03857890593355
23101376,-5.10958754383418
23101378,-6.10805702530601
23101380,-6.17858771435691
23101382,-6.92190584959359
23101384,-7.45222529461218
23101386,-9.42292785644531
23101388,-5.23270310391024
23101390,-7.3269790928711
23101392,-8.43179827593301
23101394,-8.18708664335714
23101396,-6.29714121468177
23101398,-6.620437941515
23101404,-7.09151498112135
23101406,-7.86646109162978
23101408,-8.35654732351381
23101412,-7.33068311943389
23101414,-7.56066730616974
23101416,-7.29328221766324
23101418,-5.22476607500164
23101420,-5.31794613600648
23101422,-5.03646813761682
23101424,-6.95781840548423
23101428,-8.21467016498923
23101430,-7.04817696468409
23101432,-7.52986288070679
23101434,-7.55595520408192
23101436,-7.39254497678533
23101438,-7.55129368009492
23101440,-7.88272870434424
23101442,-7.26121944151563
23101444,-8.67778070526608
23101446,-8.30102999566398
23101448,-8.14874165128093
23101450,-7.89498329162598
23101452,-7.00524305541237
23101454,-7.82390874094432
23101458,-8.27572413039921
23101460,-8.04469966888428
23101464,-7.23657200643706
23101466,-7.60554831917378
23101468,-7.77989191195995
23101470,-9.27972030639648
23101472,-7.52287874528034
23101474,-8.22184874961636
23101476,-8.25963731050576
23101478,-8.12551593780518
23101482,-4.91869544800562
23101484,-7.90367269515991
23101486,-8.1249387366083
23101488,-7.86583375930786
23101492,-6.5111871880408
23101494,-7.9100948885606
23101496,-7.87289520163519
23101498,-8.39794000867204
23101500,-9.26175022125244
23101502,-6.42273804641419
23101504,-7.07365755337435
23101506,-8.08092190762393
23101510,-7.94946813583374
23101512,-6.61726273423867
23101514,-7.97469413473523
23101518,-5.42323262815711
23101520,-8.60205999132796
23101524,-7.86646109162978
23101526,-9.1600980758667
23101530,-7.90657831483777
23101534,-7.56066730616974
23101538,-7.5294885635376
23101542,-7.78781239559604
23101548,-7.24949160514865
23101550,-6.44830608487278
23101552,-7.29756946355447
23101554,-7.24872089601666
23101562,-7.97881070093006
23101564,-6.43097741397044
23101568,-5.89894962310791
23101570,-4.95830155737241
23101574,-8.0111026763916
23101576,-7.79433298110962
23101578,-9.11803436279297
23101580,-8.95706462860107
23101582,-7.7594507517174
23101584,-9.60526752471924
23101586,-7.99236106872559
23101588,-6.58991383394531
23101590,-7.33629907461035
23101592,-8.32790214206428
23101594,-7.91721462968355
23101596,-7.79860287567955
23101598,-8.13667713987954
23101600,-4.86517230367019
23101602,-5.23227287432066
23101604,-7.75969076156616
23101606,-8.14266750356873
23101608,-7.44009337496389
23101612,-7.79230117797852
23101614,-9.30102999566398
23101616,-7.93930215964639
23101618,-6.83624247601804
23101620,-4.85008863983501
23101622,-8.09691001300806
23101626,-7.30362558364868
23101628,-7.35077428817749
23101630,-8.43179827593301
23101632,-8.08618614761628
23101634,-7.53313237964589
23101636,-7.51286162452281
23101638,-5.92707872390747
23101640,-8.01772876696043
23101644,-7.03105031901866
23101646,-6.26129869956529
23101650,-7.60401391983032
23101652,-7.58548927307129
23101654,-7.21112488422458
23101656,-6.01251249386691
23101660,-9.15490195998574
23101662,-4.92366545394649
23101664,-7.21824462534753
23101666,-7.57831001281738
23101668,-5.52098645454387
23101670,-7.59516628338006
23101672,-8.3767507096021
23101674,-8.19598484039307
23101676,-8.01772876696043
23101680,-4.9215105567086
23101682,-7.75696195131371
23101684,-7.37571790416433
23101686,-7.59006687666871
23101688,-8.06550154875643
23101690,-7.57186520597121
23101692,-7.54363396687096
23101694,-8.00436480540245
23101696,-6.95979337242529
23101700,-6.80687540164554
23101702,-5.19671363115225
23101704,-7.32057210338788
23101706,-7.37104177474976
23101708,-7.17751693725586
23101710,-8.07572071393812
23101712,-7.77150726318359
23101714,-8.11350927482752
23101718,-7.6903698325741
23101722,-8.82390874094432
23101724,-5.40314531026009
23101728,-8.34678748622466
23101730,-6.1438755557577
23101732,-7.51427857351842
23101734,-8.492844581604
23101736,-8.65757731917779
23101738,-7.87289520163519
23101740,-7.56012058258057
23101742,-8.36653154442041
23101744,-7.6903698325741
23101746,-7.78251605578609
23101748,-7.48811663902113
23101750,-9
23101752,-6.49675703048706
23101754,-7.85387196432176
23101756,-7.5435733795166
23101758,-6.72699872793626
23101760,-8.29242982390206
23101762,-7.31342935562134
23101764,-7.18803405761719
23101766,-7.73282827159699
23101768,-8.44369749923271
23101770,-8.29242982390206
23101772,-7.06454372406006
23101774,-8.2518119729938
23101776,-8.58502665202918
23101778,-4.90016102524499
23101784,-7.47886191629596
23101786,-7.97469413473523
23101788,-8.01322826573375
23101790,-7.20971483596676
23101792,-8.35654732351381
23101794,-4.81203954868694
23101796,-7.15287685394287
23101798,-8.24488639831543
23101800,-9
23101802,-7.84771165561694
23101804,-7.46012401580811
23101808,-8.2839966563652
23101812,-5.35825565817067
23101816,-7.93554201077308
23101822,-7.88605664769316
23101824,-8.61978875828839
23101826,-8.72124639904717
23101828,-8.67778070526608
