"comid","logq_hz_vertical_m_div_s_fill"
23099854,-3.42266758560906
23099856,-3.63985758563653
23099858,-4.4206669317919
23099860,-3.34373463158172
23099862,-3.39618077532361
23099864,-3.32489946647798
23099866,-3.15760995969501
23099868,-3.32824259602274
23099870,-3.13351104145598
23099872,-3.40888751186248
23099874,-3.2732899838345
23099876,-5.59126833891738
23099878,-3.21890942500841
23099880,-4.9693193360001
23099882,-7.63259887695312
23099884,-5.28235445716797
23099886,-4.20750045075117
23099888,-4.09228183901747
23099890,-3.80333919833823
23099892,-4.64290222565149
23099894,-3.57613134463741
23099896,-3.47140840806736
23099898,-2.95218308979318
23099900,-3.90124763685124
23099902,-3.7029938834775
23099906,-4.04691094484258
23099908,-3.50819081797688
23099910,-3.33540365498728
23099912,-3.95701684630615
23099914,-2.84211316995566
23099916,-4.00032847048354
23099918,-3.84759487054478
23099920,-6.85356186471423
23099922,-3.33501695782558
23099924,-3.5083717236818
23099926,-3.66802003736602
23099928,-4.11355991249016
23099930,-3.90517965905692
23099932,-4.16452226781879
23099934,-4.98200067341397
23099936,-3.58739204571628
23099938,-3.6462123666779
23099940,-4.36043949296259
23099942,-3.12023310797552
23099944,-4.43906096761827
23099946,-3.21794832817578
23099948,-4.04601228484905
23099950,-2.79945412634944
23099952,-3.73332107927178
23099954,-4.24220016256481
23099956,-4.14367098280127
23099958,-2.95157729601857
23099960,-4.08043665594326
23099962,-4.60853317844237
23099964,-3.97766355716229
23099966,-4.31151190299426
23099968,-4.11015685865483
23099970,-4.20697433764703
23099972,-3.7540033108213
23099974,-4.14249876946309
23099976,-3.62027598417832
23099978,-4.31366482803257
23099980,-4.80765024667836
23099982,-3.70919525235018
23099984,-4.16130915055825
23099986,-3.61993597610808
23099988,-3.09407687111033
23099990,-3.52988752333281
23099992,-3.62151804653562
23099994,-4.09687302121556
23099996,-4.36798841787678
23099998,-3.48310519021535
23100000,-4.0470233367293
23100002,-3.48359685307463
23100004,-4.30840476560498
23100006,-3.5544282634971
23100008,-3.12211801260971
23100010,-3.61696948094018
23100012,-3.89794928185267
23100014,-4.5457767777482
23100016,-4.13387821919278
23100018,-4.64669842628562
23100020,-5.8430270581037
23100022,-6.24712753295898
23100024,-5.68947661604848
23100026,-5.78345108032227
23100028,-7.01513719558716
23100030,-6.68973163336755
23100034,-7.15879487991333
23100038,-5.64198896766791
23100052,-6.35634996178267
23100054,-6.52870828894106
23100056,-6.98664617538452
23100058,-5.94761390461063
23100060,-5.91592443222133
23100062,-6.06869471857833
23100064,-6.72216166699795
23100066,-5.85412020352938
23100068,-4.9738795726757
23100070,-4.79255953331558
23100072,-4.96032419314369
23100074,-4.82870952185797
23100076,-4.72795174633077
23100078,-4.65439496874865
23100080,-4.67781172740845
23100082,-4.82331561036602
23100084,-4.49438882875845
23100086,-4.03597054556321
23100088,-4.13664144590953
23100090,-4.45404254763154
23100092,-4.31543827859591
23100094,-3.84594291261098
23100096,-4.37929164633077
23100098,-3.78200847336257
23100100,-3.53578797763981
23100102,-4.07294594383155
23100104,-4.0131316286318
23100106,-4.14343484803771
23100108,-3.98627474606961
23100110,-4.53997684514323
23100112,-4.23007966990851
23100114,-4.2172097809027
23100116,-3.6660768675001
23100118,-3.83162825612203
23100120,-4.06215709903888
23100122,-3.63173036395865
23100124,-3.62614253876799
23100126,-4.28093292198263
23100128,-4.89111969931633
23100130,-4.79289312192259
23100132,-5.01901994858718
23100134,-4.91304498730824
23100136,-4.50378323497068
23100138,-4.58280906968184
23100140,-4.36472138512817
23100142,-3.59943896565457
23100144,-5.04590188994018
23100146,-5.29731292442399
23100148,-5.50301503131249
23100150,-5.17354940351556
23100152,-4.29148307275937
23100154,-4.73246249227816
23100156,-4.16223425587933
23100158,-5.051616835768
23100160,-5.0264255486933
23100162,-4.59909953034536
23100164,-6.33142773081544
23100166,-3.13672366542429
23100168,-4.04598579643735
23100170,-4.12277018867398
23100172,-3.45020038221732
23100174,-3.60144573481018
23100176,-3.62773752841091
23100178,-5.67575073242188
23100180,-3.31068858654109
23100182,-3.86676298719781
23100184,-3.75563857751144
23100186,-3.69059879687753
23100188,-3.66274982767367
23100190,-4.01378960394757
23100192,-3.95119029074076
23100194,-2.52269719023543
23100196,-3.46366098783152
23100198,-3.6150796712994
23100200,-3.96060221259942
23100202,-4.2152120108798
23100204,-4.0048839526001
23100206,-4.42672689969666
23100208,-4.48589659829373
23100210,-4.71236596363144
23100212,-5.08587962725802
23100214,-4.00134532265347
23100216,-3.94014532830797
23100218,-4.27572514854571
23100220,-3.76714502919132
23100222,-3.73343621028448
23100224,-3.69763548260883
23100226,-4.26820216304801
23100228,-3.90456690668337
23100230,-3.89191882935325
23100232,-3.91782540899909
23100234,-4.21829917314211
23100236,-4.77754264864053
23100238,-4.90349997214875
23100240,-7.63839149475098
23100242,-6.75597041096998
23100244,-5.93734281977444
23100246,-5.26206031369973
23100248,-4.47680520336558
23100250,-4.6772598643299
23100252,-6.08113125661902
23100254,-4.13120631688879
23100258,-4.34233713323543
23100260,-4.56957178016393
23100262,-7.04322528839111
23100264,-4.48824226851703
23100266,-3.762924989778
23100268,-4.37234743982036
23100270,-4.48506195616702
23100272,-4.58418889320725
23100274,-4.06101864780015
23100276,-5.04588297153691
23100278,-3.89609327350231
23100280,-4.0764667352803
23100282,-4.18126121803434
23100284,-4.7136436763066
23100286,-4.93777644266153
23100288,-5.02244199518117
23100290,-4.9521996232855
23100292,-5.07103679103016
23100294,-5.21375204400649
23100296,-3.69510566359043
23100298,-4.03962554552417
23100300,-3.88768271717318
23100302,-3.75678939654281
23100304,-3.69650157691484
23100306,-3.74351481542233
23100308,-4.77908598451094
23100310,-4.05084356593899
23100312,-4.67428044531609
23100314,-4.47317868935322
23100316,-4.97762524872716
23100318,-4.62555590785654
23100320,-5.70734526980201
23100322,-4.91324794490711
23100324,-5.19289460691852
23100326,-5.13593412090976
23100328,-4.56451397924214
23100330,-4.18263033840612
23100332,-4.24333118779689
23100334,-4.56603505732357
23100336,-4.0678860979123
23100338,-4.0774910280571
23100340,-4.05004461590147
23100342,-3.48607691167551
23100344,-3.93377107371174
23100346,-4.27667394323998
23100348,-3.70093599835367
23100350,-4.17142353663066
23100352,-3.83938784439253
23100354,-3.35214781973225
23100356,-4.39161823199579
23100358,-4.25322315398109
23100360,-4.68855238419274
23100362,-4.66788990429279
23100364,-4.39133374039562
23100366,-4.45367571997631
23100368,-4.7049621927533
23100370,-4.66128013125258
23100372,-4.30183479012998
23100374,-4.26798806242486
23100376,-4.68102214821727
23100378,-4.37703619693204
23100380,-4.78831874620901
23100382,-5.07265319729525
23100384,-4.6197471403947
23100386,-4.3628676597335
23100388,-4.38755798564381
23100390,-3.25542274486267
23100392,-4.34697073558519
23100394,-4.12937726618984
23100396,-4.74868792697581
23100398,-4.06309614205926
23100400,-4.35151607526178
23100402,-4.00516719480524
23100404,-4.02184678197695
23100406,-6.47533893585205
23100408,-4.37055234396188
23100410,-4.65425822634558
23100412,-4.70758549234026
23100414,-3.90105494189718
23100416,-4.37126482770988
23100418,-4.58894601771137
23100420,-4.22939999367607
23100422,-4.45598599320341
23100424,-5.09474860298359
23100426,-5.06501648189142
23100428,-4.41001175110078
23100430,-3.50340813903125
23100432,-3.92501283657747
23100434,-4.61039135650895
23100436,-4.6666299506517
23100438,-4.98818377618894
23100440,-4.75617442537172
23100442,-4.42454337474904
23100444,-4.32903543231231
23100446,-4.67496942998215
23100448,-4.97766134278568
23100450,-8.17071914672852
23100452,-7.44129142946683
23100454,-6.38531365771799
23100456,-6.11924355548979
23100458,-6.73826145264746
23100460,-6.48280410205003
23100462,-6.35664603802314
23100464,-6.26416166568293
23100466,-6.73494621149599
23100468,-5.97600719539353
23100470,-6.3631110930162
23100472,-6.53985418250825
23100474,-6.59773861754532
23100476,-6.5548630312867
23100478,-6.6903698325741
23100480,-6.62033196596635
23100482,-6.71851211205992
23100484,-6.96577273922945
23100486,-7.45593195564972
23100488,-7.07058107428571
23100490,-7.12183380126953
23100492,-7.82377862930298
23100494,-4.61580930186429
23100496,-4.34473475434237
23100498,-5.39374468626726
23100500,-5.4937661763002
23100502,-4.94500553708797
23100504,-4.87295878922145
23100506,-4.37858371908519
23100508,-4.77158491527257
23100510,-4.99371085855538
23100512,-4.77121560240253
23100514,-3.64573383980957
23100516,-4.11884662979807
23100518,-3.6711394898108
23100520,-4.08633753583733
23100522,-4.53985322216133
23100524,-4.91396264469494
23100526,-3.76021944280111
23100528,-4.97221686709893
23100530,-7.46268796920776
23100532,-7.57187986373901
23100534,-5.77311667160908
23100536,-6.72056121171298
23100538,-6.47018480335537
23100540,-6.4135252214286
23100542,-7.14508697769214
23100544,-6.21939469416103
23100546,-6.66454209931062
23100548,-6.25547232652743
23100550,-6.35408672496616
23100552,-6.85201467931619
23100554,-6.17633018673186
23100556,-6.57397698431012
23100558,-6.51300311156818
23100560,-6.59260909552927
23100562,-6.69164905141327
23100564,-7.19314197048118
23100566,-7.51999305704285
23100568,-7.1337126609158
23100570,-8.05060999335509
23100572,-4.53486683927419
23100574,-5.18196361840772
23100576,-4.8466130147655
23100578,-5.18321219667829
23100580,-5.01553500575078
23100582,-4.16837611171935
23100584,-4.91830513515542
23100586,-4.50058701976983
23100588,-4.27140403086217
23100590,-4.79541748177818
23100592,-6.70996538863748
23100594,-7.24872089601666
23100596,-5.8818676000791
23100600,-5.00159391682818
23100602,-5.54617569689996
23100604,-4.8422579049421
23100606,-5.68486319024463
23100608,-4.69161570692498
23100610,-4.72224960959316
23100612,-5.00571931820896
23100614,-4.94664627663085
23100620,-6.65052820078561
23100622,-7.70553377383841
23100624,-6.10432430522246
23100626,-5.37127351760864
23100628,-7.70996538863748
23100630,-5.19605832916755
23100632,-6.2844144481068
23100634,-6.6067758836387
23100640,-7.16749108729376
23100642,-6.23912536194781
23100654,-5.62154130240536
23100656,-5.71449665730734
23100660,-6.34380593782081
23100662,-7.34419012069702
23100664,-5.54375546483843
23100670,-6.86710023005552
23100672,-5.61627437355536
23100676,-7.45222529461218
23100678,-8.35867309570312
23100680,-8.42919635772705
23100682,-5.50803855757537
23100684,-5.60020716276087
23100686,-6.53253989049274
23100688,-9.69897000433602
23100690,-7.98975706100464
23100692,-8.13076828026902
23100694,-7.99121761322021
23100696,-8.43179827593301
23100698,-6.64282774227697
23100700,-8.18708664335714
23100704,-5.20665429682213
23100706,-3.51287624824051
23100708,-5.52568173242123
23100710,-4.89546509161077
23100712,-7.82730150222778
23100714,-6.92299567320665
23100716,-5.99157017320277
23100718,-7.2580609222708
23100720,-5.86831719053859
23100722,-7.12422227859497
23100724,-5.2861705443977
23100726,-4.78617195766505
23100728,-6.45039402088344
23100730,-6.5632014897682
23100732,-5.45282783436768
23100734,-5.84378411732324
23100738,-5.84569778031534
23100740,-4.91565798711664
23100742,-7.47936820983887
23100744,-7.09636748391576
23100746,-4.52812029524879
23100748,-5.45180719529669
23100750,-4.3219143417644
23100756,-6.75832626309541
23100758,-6.66885435945948
23100760,-4.39585951178959
23100762,-9.296067237854
23100764,-6.01148563416633
23100766,-6.67080558491155
23100768,-5.55469864900871
23100770,-5.56512083475859
23100772,-7.25570701687732
23100774,-7.44611697335613
23100776,-7.30277065724028
23100778,-6.57971411505808
23100780,-4.41873126622311
23100784,-4.97190463701834
23100786,-6.92118081690115
23100788,-6.95546023960759
23100792,-4.4878220051097
23100794,-5.42519142210211
23100796,-5.38284173084759
23100798,-7.43770713554353
23100800,-6.78781239559604
23100802,-7.57186520597121
23100804,-7.70996538863748
23100806,-5.26225672281274
23100808,-7.07883394936226
23100810,-7.42021640338319
23100812,-7.27327279097343
23100814,-6.730553702724
23100818,-4.85672869838419
23100820,-7.95078197732982
23100822,-7.34872198600186
23100824,-4.71379766093412
23100826,-4.32904061859887
23100828,-5.69261842945095
23100830,-6.81050968630063
23100832,-5.34034717863156
23100834,-3.83319575019513
23100836,-7.5185573714977
23100842,-5.08933595308353
23100844,-4.45368774163492
23100846,-5.56565468743717
23100848,-5.36877764247457
23100850,-5.73839896698929
23100852,-8.74105739593506
23100854,-5.7421055312692
23100856,-4.96590614318848
23100858,-7.03666400909424
23100860,-4.85871331362904
23100862,-7.4089353929735
23100866,-7.52143350440616
23100868,-7.21253952548158
23100870,-6.60819625854492
23100872,-5.23941956503007
23100874,-6.78914663468511
23100876,-8.46367740631104
23100878,-5.23345234855666
23100880,-7.93554201077308
23100882,-5.35909583229697
23100888,-6.62592444245187
23100892,-4.85587500306584
23100894,-4.77494567282952
23100896,-5.05802172819181
23100900,-4.72432914559422
23100902,-6.20467623567069
23100904,-8.0268721464003
23100906,-6.6824746131897
23100908,-5.04122212330936
23100910,-4.86367270366627
23100912,-6.56446157451345
23100916,-8.24967002868652
23100918,-4.95321881640847
23100920,-7.56383735295924
23100922,-4.44695253994237
23100926,-6.85855022659953
23100928,-7.89505004882812
23100930,-4.38908160563153
23100932,-4.82081225749439
23100934,-7.96657624451305
23100936,-6.51307583349116
23100938,-4.68431379517811
23100940,-8.317138671875
23100942,-6.50744061511042
23100944,-4.55545298741268
23100946,-6.92253718666404
23100948,-7.00744648216786
23100954,-9.32552242279053
23100956,-6.90101036059882
23100958,-6.2150262900456
23100960,-7.3780951499939
23100962,-4.38667783191162
23100964,-7.14996674231023
23100966,-7.67985371388895
23100968,-4.75006841279464
23100972,-6.67372043868818
23100974,-8.31887722015381
23100976,-8.15120410919189
23100978,-7.08196966321512
23100980,-7.44611697335613
23100982,-7.67366413907125
23100986,-7.26841123481326
23100988,-7.79588001734407
23100990,-7.19231653213501
23100992,-7.04527520902094
23100994,-7.20342566678957
23100996,-6.90239567112559
23101000,-4.97906664723023
23101002,-6.84466396253494
23101004,-7.29157909986529
23101006,-7.69464863055338
23101008,-5.71055128999591
23101010,-5.99887229972297
23101012,-8.74133682250977
23101016,-5.04501735251889
23101018,-7.2839966563652
23101020,-8.03621217265444
23101022,-8.4089353929735
23101024,-6.88198092717882
23101026,-6.83953146888096
23101028,-7.79317412396815
23101030,-7.69897000433602
23101032,-6.59294918519575
23101034,-8.63827216398241
23101036,-7.9308066368103
23101038,-5.55303731763968
23101040,-8.15922832489014
23101042,-9.69897000433602
23101044,-8.05060999335509
23101046,-5.06280964609646
23101048,-7.72124639904717
23101050,-7.20690839982342
23101052,-6.71919407160633
23101054,-6.6567192462639
23101056,-5.49177287458983
23101058,-7.7851561519523
23101060,-5.39433947362864
23101062,-7.45967052520913
23101064,-7.68402965454308
23101068,-7.29929628285498
23101070,-8.41196441650391
23101072,-7.49894073778225
23101074,-7.95484590530396
23101076,-7.37059040089728
23101078,-7.4294570601181
23101082,-9.30102999566398
23101084,-8.0087739243075
23101086,-5.06908660993586
23101088,-6.58586263781552
23101090,-6.81390151054928
23101092,-3.95783307151552
23101102,-4.58205699394937
23101104,-7.1337126609158
23101106,-7.08867597579956
23101108,-6.9679479598999
23101112,-4.99186231924163
23101114,-7.40560744962457
23101116,-7.50307035192678
23101118,-6.14563322195913
23101122,-6.67564535140991
23101124,-6.65678548812866
23101126,-7.59006687666871
23101132,-6.96297212024422
23101134,-6.64467528874283
23101136,-6.99012436628784
23101138,-5.16251951477358
23101142,-7.77469071827414
23101150,-5.38184039379146
23101152,-4.64257864273713
23101158,-4.28630453842347
23101162,-5.22395696401799
23101166,-5.63532603888134
23101168,-7.00480370840282
23101172,-4.75697800243157
23101184,-7.5335111618042
23101188,-5.52103266339592
23101190,-4.59576342116985
23101196,-4.85639508532938
23101198,-7.39794000867204
23101202,-5.54402272388145
23101204,-7.4089353929735
23101206,-8.82390874094432
23101208,-7.5543957967264
23101210,-5.45217787355936
23101214,-8.18708664335714
23101218,-5.51898743548594
23101220,-4.71353849769083
23101224,-6.84013215290743
23101228,-6.97798426018228
23101230,-7.26841123481326
23101232,-7.04624030826677
23101236,-5.98774078015855
23101238,-4.74513428993945
23101240,-5.90633067553791
23101246,-7.40671393297954
23101248,-4.63617021116829
23101252,-5.16871583586341
23101254,-6.52316837148774
23101256,-5.1754702503092
23101258,-7.25963731050576
23101260,-6.66094626429086
23101262,-7.37263414340727
23101264,-6.72630441206991
23101272,-6.96577273922945
23101274,-6.73849922680172
23101276,-6.51060407827287
23101280,-5.59091263055216
23101282,-5.05961039315417
23101284,-6.1074189731099
23101286,-7.86327943284359
23101288,-7.06348625752111
23101290,-7.18708664335714
23101292,-7.09097914578884
23101294,-5.19227343344953
23101296,-5.01185525267529
23101298,-7.2829065322876
23101302,-8.38721614328026
23101304,-5.02487265038649
23101306,-8.13667713987954
23101308,-4.85209649346568
23101310,-7.69464863055338
23101312,-7.1518108830086
23101314,-7.00130484168834
23101316,-8.36653154442041
23101318,-5.08278348434118
23101320,-5.67670140293627
23101328,-5.63654940264263
23101330,-5.61467862970319
23101336,-7.17522353752445
23101338,-7.85387196432176
23101340,-7.37882371822496
23101342,-4.70413752165056
23101344,-5.01062456149518
23101346,-7.44733178388781
23101348,-5.08561409058611
23101352,-6.43203309317685
23101354,-7.82102305270683
23101356,-4.58312484818822
23101358,-5.53441319991055
23101360,-7.78927183151245
23101362,-4.83024169283709
23101364,-7.17005330405836
23101366,-4.97056994020072
23101368,-5.1942143563569
23101370,-7.36151074304536
23101372,-6.25656863485332
23101374,-5.53935769975268
23101376,-5.10958754383418
23101378,-6.10805702530601
23101380,-6.17858771435691
23101382,-6.67883150954825
23101384,-6.70180213289018
23101386,-7.40560744962457
23101388,-4.26317358529993
23101390,-7.28066871301627
23101392,-7.45717457304082
23101394,-7.67985371388895
23101396,-6.29714121468177
23101398,-6.620437941515
23101404,-6.8520521874981
23101406,-7.94692155651658
23101408,-7.60205999132796
23101412,-6.57397698431012
23101414,-7.22694530663574
23101416,-6.65560772631489
23101418,-5.22476607500164
23101420,-5.31794613600648
23101422,-5.03646813761682
23101424,-6.77624454634276
23101428,-7.17587416608345
23101430,-7.94309514866353
23101432,-7.87238311767578
23101434,-6.97963871735229
23101436,-6.8639139026159
23101438,-6.62488531530778
23101440,-8.55284196865778
23101442,-7.51144928349956
23101444,-7.30277065724028
23101446,-7.37059040089728
23101448,-7.19586056766465
23101450,-7.91453409194946
23101452,-6.89889905774357
23101454,-7.14813039927023
23101458,-7.33724216831843
23101460,-8.10318088531494
23101464,-8.07058107428571
23101466,-6.57511836336893
23101468,-7.41680122603138
23101470,-7.43179827593301
23101472,-7.09474395125155
23101474,-7.45593195564972
23101476,-7.94309514866353
23101478,-7.99180221557617
23101482,-4.91869544800562
23101484,-7.89198350906372
23101486,-7.40011692792631
23101488,-8.06260299682617
23101492,-6.5111871880408
23101494,-8.36653154442041
23101496,-8.74472749489669
23101498,-7.56703070912559
23101500,-7.30539480106643
23101502,-5.7599508646481
23101504,-6.47534428764222
23101506,-7.30803489723264
23101510,-8.35514640808105
23101512,-6.73400362950492
23101514,-7.33254704711005
23101518,-5.01895833890698
23101520,-8.56863623584101
23101524,-6.95663772197887
23101526,-9.4386682510376
23101530,-6.76220500672608
23101534,-7.31425826139774
23101538,-8.17663288116455
23101542,-6.70818731253288
23101548,-5.96693830746183
23101550,-6.31788218586708
23101552,-7.21824462534753
23101554,-6.96337110463784
23101562,-7.26440110030182
23101564,-4.79446002688311
23101568,-3.56848345539977
23101570,-4.95830155737241
23101574,-5.79794783108794
23101576,-8.07062435150146
23101578,-8.98213005065918
23101580,-8.64971542358398
23101582,-7.45842075605342
23101584,-7.93184947967529
23101586,-7.4904990196228
23101588,-6.58991383394531
23101590,-6.28988263488818
23101592,-7.45099673797421
23101594,-7.28988263488818
23101596,-7.8153085691824
23101598,-7.06499684854635
23101600,-4.86517230367019
23101602,-4.68250753345122
23101604,-7.74100875854492
23101606,-7.25884840114821
23101608,-6.67674789982831
23101612,-8.51067066192627
23101614,-7.76447155309245
23101616,-7.12262865413023
23101618,-6.6514114937181
23101620,-4.85008863983501
23101622,-7.27901425584626
23101626,-8.05193614959717
23101628,-7.8866810798645
23101630,-7.43889861635094
23101632,-7.41907502432438
23101634,-7.89619627904404
23101636,-7.60906489289662
23101638,-4.39414031646571
23101640,-7.39685562737982
23101644,-6.16507090353942
23101646,-4.6152596035257
23101650,-8.25392723083496
23101652,-8.30490303039551
23101654,-6.76598918241282
23101656,-5.55925186215295
23101660,-7.44855000202713
23101662,-4.68395876272049
23101664,-6.41422019804256
23101666,-7.52181005477905
23101668,-5.37776813749951
23101670,-6.72010501998836
23101672,-7.86966623150499
23101674,-9.31015586853027
23101676,-7.23807216157947
23101680,-4.59854791907705
23101682,-6.90552887135836
23101684,-6.60924147126128
23101686,-7.10347378251045
23101688,-7.95078197732982
23101690,-6.7552282385047
23101692,-6.79860287567955
23101694,-7.28149831113273
23101696,-6.66735958961254
23101700,-6.83505262737816
23101702,-4.63185133130765
23101704,-6.5777385491864
23101706,-7.41465854644775
23101708,-7.259361743927
23101710,-7.30891850787703
23101712,-8.39342308044434
23101714,-7.43770713554353
23101718,-7.29670862188134
23101722,-7.65560772631489
23101724,-5.40314531026009
23101728,-7.56703070912559
23101730,-4.82318551932522
23101732,-6.75178143880993
23101734,-8.21000003814697
23101736,-7.37468754903833
23101738,-7.60554831917378
23101740,-7.85882663726807
23101742,-7.64781748188864
23101744,-6.60397510339141
23101746,-8.02227639471115
23101748,-7.28483264215154
23101750,-7.48678239993206
23101752,-5.25296127065201
23101754,-6.89962945488244
23101756,-7.76317930221558
23101758,-6.33254704711005
23101760,-9.30102999566398
23101762,-7.73857688903809
23101764,-6.80639553070068
23101766,-6.82856609905699
23101768,-7.44733178388781
23101770,-8.60205999132796
23101772,-7.1314549446106
23101774,-7.52578373592374
23101776,-7.18243463044022
23101778,-4.90016102524499
23101784,-6.90239567112559
23101786,-7.4672456210075
23101788,-8.67778070526608
23101790,-6.18548604763176
23101792,-7.47886191629596
23101794,-4.81203954868694
23101796,-7.47939443588257
23101798,-9.28989791870117
23101800,-7.88272870434424
23101802,-7.36855623098683
23101804,-7.89662647247314
23101808,-7.36251027048749
23101812,-5.35825565817067
23101816,-7.33254704711005
23101822,-7.53910215724345
23101824,-7.31785492362617
23101826,-7.38510278396687
23101828,-7.67985371388895
23101830,-4.71591533171323
23101832,-7.92445303860747
